Release Artist;Release Title;Release Type;UPC;ISRC;Grid;Vendor;Country of Sale;Country Code;Delivery Type;Delivery Format;Net Units;Net Payable
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;2  ;$0,01
R.W.W.;Wonder;Track;3760231765037;BEHC61800024;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Bump in The Night;Track;3760231765037;BEHC61800015;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Never Go Home;Track;3760231765037;BEHC61800020;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Shut Yer Mouth;Track;3760231765037;BEHC61800023;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Danielle;Track;3760231765037;BEHC61800016;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;1  ;$0,00
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;10  ;$0,07
R.W.W.;Pot Of Gold;Track;3760231765037;BEHC61800022;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;22  ;$0,14
R.W.W.;Wonder;Track;3760231765037;BEHC61800024;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;16  ;$0,10
R.W.W.;Wonder;Track;3760231765037;BEHC61800024;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;4  ;$0,03
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;3  ;$0,02
R.W.W.;Jesse James;Track;3760231765037;BEHC61800014;digital-BADLP001;Apple Music;CANADA;CA;Stream;Stream;20  ;$0,13
